김치,오이소박이,1인분,52
과자,오징어 땅콩,1봉,400
밥,오징어덮밥,,428
나물,오징어무침,1인분,83
구이,오징어양념구이,1인분,130
찌개,오징어찌개,1인분,151
볶음,오징어채볶음,1인분,125
빵,옥수수빵,1인분,218
라면,올리브별첨 짜파게티,1인분,632
빵,와플,1인분,257
밥,완두콩밥,1인분,345
국,우거지국,1인분,203
라면,우동,1인분,473
볶음,우엉볶음,1인분,120
조림,우엉조림,1인분,116
빵,우유식빵,1인분,200
국,우족탕,1인분,569
라면,울면,1인분,517
음료,원두커피,1컵,3
주류,위스키(패스포트),1잔(40cc),110
밥,유부초밥,,50
국,육개장,1인분,240
라면,육개장사발면,1인분,447
주류,이강주,1잔(50cc),90
과자,인디언밥,1봉,297
떡,인절미,6개,450
과일,자두,1개,27
과일,자몽,1개,90
밥,자장밥,,494
볶음,잔멸치볶음,1인분,205
밥,잡곡밥,1인분,361
밥,잡채밥,,562
밥,잡탕밥,,548
죽,잣죽,1인분,275
구이,장어구이,1인분,220
밥,장어초밥,,110
빵,잼토스트,1인분,214
주류,적포도주(마주앙),1잔(150cc),125
죽,전복죽,1인분,273
밥,전어초밥,,60
떡,절편,5개,220
밥,제육덮밥,,506
밥,제육돌솥비빔밥,,611
볶음,제육볶음,1인분,262
과자,제크바닐라샌드,1봉,374
과자,제크크래커,1봉,550
국,조개국,1인분,75
구이,조기구이,1인분,120
찜,조기찜,1인분,187
밥,조밥,1인분,370
과자,죽염포테토칩,1봉,220
밥,중식볶음밥,,720
구이,쥐포구이,1인분,100
나물,쥐포무침,1인분,129
볶음,쥐포볶음,1인분,154
밥,즉석밥,,146
밥,짬뽕밥,,486
야채,찐감자,1개,109
야채,찐고구마,1개,250
밥,차수수밥,1인분,366
밥,찰밥,1인분,327
과일,참외,1개,74
밥,참치김밥,,570
찌개,참치김치찌개,1인분,186
찌개,참치두부찌개,1인분,131
밥,참치볶음밥,,464
죽,참치죽,,120
밥,참치초밥(뱃살),,151
밥,참치초밥(붉은살),,76
밥,참치회덮밥,,482
과자,참크래커,1봉,397
빵,찹쌀도너츠,1인분,279
과자,찹쌀산자,1봉,209
튀김,채소튀김,1인분,299
과일,천도복숭아,1개,33
주류,청주(청하),1컵(200cc),65
나물,청포묵김무침,1인분,109
과일,체리토마토,1개,40
과자,초코다이제스티브,1봉,936
김치,총각김치,1인분,82
밥,충무김밥,,475
나물,취나물무침,1인분,38
빵,치즈버거,1인분,476
빵,치즈페스츄리,1인분,395
